DEVICE_LOC,EXPID,EXPID.1,EXPOSURE,FIBER,FIBERASSIGN_X,FIBERASSIGN_Y,OFFSET_0,OFFSET_2,PETAL_LOC,TARGET_DEC,TARGET_RA,air_dewpoint,air_flow,air_in_temp,air_out_temp,air_temp,bus_id,casscage_i_temp,casscage_o_temp,centersection_i_temp,centersection_o_temp,chimney_ib_temp,chimney_im_temp,chimney_it_temp,chimney_os_temp,chimney_ow_temp,ctrl_enabled,decbore_temp,device_loc,dos_instance,environmentmonitor_telescope,exposure_id,exposure_iter,flags,flowrate_in,flowrate_out,glycol_in_temp,glycol_out_temp,hinge_s_temp,hinge_w_temp,last_meas_fwhm,last_meas_obs_x,last_meas_obs_y,last_meas_peak,log_note,mirror_avg_temp,mirror_desired_temp,mirror_eib_temp,mirror_eit_temp,mirror_eob_temp,mirror_eot_temp,mirror_nib_temp,mirror_nit_temp,mirror_nob_temp,mirror_not_temp,mirror_rtd_temp,mirror_sib_temp,mirror_sit_temp,mirror_sob_temp,mirror_sot_temp,mirror_status,mirror_temp,mirror_wib_temp,mirror_wit_temp,mirror_wob_temp,mirror_wot_temp,move_cmd,move_val1,move_val2,obs_x,obs_y,petal_id,pos_id,pos_move_index,pos_p,pos_t,primarycell_i_temp,primarycell_o_temp,probe1_humidity,probe1_temp,probe2_humidity,probe2_temp,ptl_x,ptl_y,ptl_z,row_status,row_status_time,row_status_user,servo_setpoint,site,telescope_timestamp,time_recorded,time_recorded.1,topring_s_temp,topring_w_temp,total_creep_moves_p,total_creep_moves_t,total_cruise_moves_p,total_cruise_moves_t,total_move_sequences,truss_etb_temp,truss_ett_temp,truss_ntb_temp,truss_ntt_temp,truss_stb_temp,truss_sts_temp,truss_stt_temp,truss_temp,truss_tsb_temp,truss_tsm_temp,truss_tst_temp,truss_wtb_temp,truss_wtt_temp,environmentmonitor_telescope,telescope_timestamp,mirror_avg_temp,mirror_desired_temp,servo_setpoint,air_temp,air_dewpoint,air_flow,probe1_humidity,probe1_temp,probe2_humidity,probe2_temp,flowrate_in,flowrate_out,mirror_rtd_temp,mirror_nib_temp,mirror_eib_temp,mirror_sib_temp,mirror_wib_temp,mirror_nob_temp,mirror_eob_temp,mirror_sob_temp,mirror_wob_temp,mirror_nit_temp,mirror_eit_temp,mirror_sit_temp,mirror_wit_temp,mirror_not_temp,mirror_eot_temp,mirror_sot_temp,mirror_wot_temp,glycol_in_temp,glycol_out_temp,air_in_temp,air_out_temp,truss_ntt_temp,truss_ett_temp,truss_stt_temp,truss_wtt_temp,truss_ntb_temp,truss_etb_temp,truss_stb_temp,truss_wtb_temp,truss_sts_temp,truss_tsb_temp,truss_tsm_temp,truss_tst_temp,topring_s_temp,topring_w_temp,hinge_s_temp,hinge_w_temp,chimney_os_temp,chimney_ow_temp,chimney_ib_temp,chimney_im_temp,chimney_it_temp,centersection_i_temp,centersection_o_temp,primarycell_i_temp,primarycell_o_temp,casscage_i_temp,casscage_o_temp,decbore_temp,mirror_status,time_recorded,dos_instance,row_status,row_status_time,row_status_user,mirror_temp,truss_temp,EXPID,petal_id,device_loc,pos_id,pos_move_index,time_recorded,bus_id,pos_t,pos_p,last_meas_obs_x,last_meas_obs_y,last_meas_peak,last_meas_fwhm,total_move_sequences,total_cruise_moves_t,total_cruise_moves_p,total_creep_moves_t,total_creep_moves_p,ctrl_enabled,move_cmd,move_val1,move_val2,log_note,exposure_id,exposure_iter,flags,obs_x,obs_y,ptl_x,ptl_y,ptl_z,site,EXPID
21.0,48382.0,48382.0,55587.0,3532.0,-84.28681182861328,54.23656463623047,0.03858756276314948,0.00360555127546399,7.0,0.7972542041339301,139.3429191308197,-9.677,0.0,6.8,6.8,2.448,can11,10.6,3.9,3.9,3.5,21.6,21.6,21.7,21.7,21.6,True,4.5,21.0,extern,4424351.0,,,,0.0,0.0,6.6,6.5,3.5,4.3,2.115,-86.728,57.896,0.5596631290142601,,4.152,4.4,4.5,4.1,4.4,4.2,4.3,4.0,4.5,4.3,-99.9,4.4,4.2,4.4,4.3,ready,4.175,4.3,4.1,4.4,4.2,,,,,,2.0,M03239,5413.0,139.924791695215,-51.9651368784798,3.9,3.8,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-13 09:20:14.759610+00:00,desi_writer,40.0,kpno,2020-02-13 09:20:14,2020-02-13 09:20:14.757723+00:00,2020-02-13 09:28:00.520894+00:00,3.0,2.9,37975.0,38077.0,4392.0,4290.0,12064.0,3.5,3.0,3.3,3.1,3.5,3.7,3.1,3.867,3.8,4.0,3.8,3.2,3.0,4424351.0,2020-02-13 09:20:14,4.152,4.4,40.0,2.448,-9.677,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.3,4.5,4.4,4.3,4.5,4.4,4.4,4.4,4.0,4.1,4.2,4.1,4.3,4.2,4.3,4.2,6.6,6.5,6.8,6.8,3.1,3.0,3.1,3.0,3.3,3.5,3.5,3.2,3.7,3.8,4.0,3.8,3.0,2.9,3.5,4.3,21.7,21.6,21.6,21.6,21.7,3.9,3.5,3.9,3.8,10.6,3.9,4.5,ready,2020-02-13 09:20:14.757723+00:00,extern,M,2020-02-13 09:20:14.759610+00:00,desi_writer,4.175,3.867,48382.0,2.0,21.0,M03239,5413.0,2020-02-13 09:28:00.520894+00:00,can11,-51.9651368784798,139.924791695215,-86.728,57.896,0.55966312901426,2.115,12064.0,4290.0,4392.0,38077.0,37975.0,True,,,,,,,,,,,,,kpno,48382.0
21.0,52112.0,52112.0,55589.0,3532.0,-84.28681182861328,54.23656463623047,0.037202150475476536,0.007280109889280519,7.0,0.7972542041339301,139.3429191308197,-12.6,0.0,7.0,7.6,0.4270000000000001,can11,10.6,2.4,2.5,1.8,21.6,21.6,21.7,21.7,21.6,True,3.9,21.0,extern,4609571.0,,,,0.0,0.0,7.2,7.0,1.5,3.8,2.115,-84.95,55.624,0.5596631290142601,['set fiducial parameters'],3.227,3.0,4.0,3.1,4.3,3.3,4.1,3.1,4.2,3.4,-99.9,3.8,3.0,4.4,3.2,ready,3.175,4.0,3.0,4.3,3.3,,,,,,2.0,M03239,7836.0,170.148648879315,-59.316900278225496,3.4,3.2,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-26 07:06:03.339261+00:00,desi_writer,40.0,kpno,2020-02-26 07:06:02,2020-02-26 07:06:03.337400+00:00,2020-02-26 07:02:52.200843+00:00,0.6,0.5,41525.0,41594.0,4494.0,4425.0,12752.0,1.7,1.0,1.1,0.8,1.7,1.7,0.8,1.9,1.7,2.2,1.8,1.1,0.7,4609571.0,2020-02-26 07:06:02,3.227,3.0,40.0,0.427,-12.6,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.1,4.0,3.8,4.0,4.2,4.3,4.4,4.3,3.1,3.1,3.0,3.0,3.4,3.3,3.2,3.3,7.2,7.0,7.0,7.6,0.8,1.0,0.8,0.7,1.1,1.7,1.7,1.1,1.7,1.7,2.2,1.8,0.6,0.5,1.5,3.8,21.7,21.6,21.6,21.6,21.7,2.5,1.8,3.4,3.2,10.6,2.4,3.9,ready,2020-02-26 07:06:03.337400+00:00,extern,M,2020-02-26 07:06:03.339261+00:00,desi_writer,3.175,1.9,52112.0,2.0,21.0,M03239,7836.0,2020-02-26 07:02:52.200843+00:00,can11,-59.3169002782255,170.148648879315,-84.95,55.624,0.55966312901426,2.115,12752.0,4425.0,4494.0,41594.0,41525.0,True,,,,['set fiducial parameters'],,,,,,,,,kpno,52112.0
21.0,48364.0,48364.0,55590.0,3532.0,-84.28681182861328,54.23656463623047,0.03584689665786984,0.002236067977499789,7.0,0.7972542041339301,139.3429191308197,-9.94,0.0,6.6,6.8,3.195,can11,10.6,4.4,4.1,4.2,21.6,21.6,21.7,21.7,21.6,True,4.6,21.0,extern,4423331.0,,,,0.0,0.0,6.9,6.8,4.5,4.6,2.115,-86.728,57.896,0.5596631290142601,,4.392,3.0,4.5,4.5,4.4,4.4,4.4,4.4,4.5,4.6,-99.9,4.5,4.3,4.4,4.5,ready,4.412,4.3,4.3,4.3,4.3,,,,,,2.0,M03239,5413.0,139.924791695215,-51.9651368784798,4.0,3.9,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-13 07:39:56.030430+00:00,desi_writer,40.0,kpno,2020-02-13 07:39:55,2020-02-13 07:39:56.028528+00:00,2020-02-13 09:28:00.520894+00:00,3.7,3.2,37975.0,38077.0,4392.0,4290.0,12064.0,4.0,3.4,3.9,3.6,4.1,4.3,3.7,4.567,4.8,4.5,4.4,3.7,3.3,4423331.0,2020-02-13 07:39:55,4.392,3.0,40.0,3.195,-9.94,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.4,4.5,4.5,4.3,4.5,4.4,4.4,4.3,4.4,4.5,4.3,4.3,4.6,4.4,4.5,4.3,6.9,6.8,6.6,6.8,3.6,3.4,3.7,3.3,3.9,4.0,4.1,3.7,4.3,4.8,4.5,4.4,3.7,3.2,4.5,4.6,21.7,21.6,21.6,21.6,21.7,4.1,4.2,4.0,3.9,10.6,4.4,4.6,ready,2020-02-13 07:39:56.028528+00:00,extern,M,2020-02-13 07:39:56.030430+00:00,desi_writer,4.412,4.567,48364.0,2.0,21.0,M03239,5413.0,2020-02-13 09:28:00.520894+00:00,can11,-51.9651368784798,139.924791695215,-86.728,57.896,0.55966312901426,2.115,12064.0,4290.0,4392.0,38077.0,37975.0,True,,,,,,,,,,,,,kpno,48364.0
21.0,52113.0,52113.0,55591.0,3532.0,-84.28681182861328,54.23656463623047,0.03189043743820395,0.001,7.0,0.7972542041339301,139.3429191308197,-13.45,0.0,6.3,7.9,0.518,can11,10.6,2.2,2.3,1.7,21.6,21.6,21.7,21.7,21.6,True,3.9,21.0,extern,4609751.0,,,,0.0,0.0,7.2,7.1,1.9,3.5,2.115,-84.976,55.605,0.5596631290142601,['set fiducial parameters'],3.184,3.0,3.8,3.1,4.2,3.3,4.0,3.2,4.1,3.5,-99.9,3.8,3.0,4.3,3.3,ready,3.2,3.9,2.9,4.1,3.3,,,,,,2.0,M03239,7843.0,170.145841286985,-59.0750604920486,3.2,3.1,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-26 07:24:15.514568+00:00,desi_writer,40.0,kpno,2020-02-26 07:24:15,2020-02-26 07:24:15.512428+00:00,2020-02-26 07:26:12.319930+00:00,0.9,0.7,41540.0,41608.0,4494.0,4426.0,12755.0,1.6,1.0,1.0,0.8,1.7,1.6,1.0,1.933,2.1,1.8,1.9,1.2,0.7,4609751.0,2020-02-26 07:24:15,3.184,3.0,40.0,0.518,-13.45,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.0,3.8,3.8,3.9,4.1,4.2,4.3,4.1,3.2,3.1,3.0,2.9,3.5,3.3,3.3,3.3,7.2,7.1,6.3,7.9,0.8,1.0,1.0,0.7,1.0,1.6,1.7,1.2,1.6,2.1,1.8,1.9,0.9,0.7,1.9,3.5,21.7,21.6,21.6,21.6,21.7,2.3,1.7,3.2,3.1,10.6,2.2,3.9,ready,2020-02-26 07:24:15.512428+00:00,extern,M,2020-02-26 07:24:15.514568+00:00,desi_writer,3.2,1.933,52113.0,2.0,21.0,M03239,7843.0,2020-02-26 07:26:12.319930+00:00,can11,-59.0750604920486,170.145841286985,-84.976,55.605,0.55966312901426,2.115,12755.0,4426.0,4494.0,41608.0,41540.0,True,,,,['set fiducial parameters'],,,,,,,,,kpno,52113.0
21.0,44615.0,44615.0,55592.0,3532.0,-84.28681182861328,54.23656463623047,0.0256124969497314,0.002236067977499789,7.0,0.7972542041339301,139.3429191308197,-5.0,0.0,8.1,7.9,4.482,can11,10.6,5.1,5.1,5.1,21.6,21.6,21.7,21.7,21.6,True,6.2,21.0,extern,4195031.0,,,,0.0,0.0,7.6,7.4,5.7,5.7,2.115,-83.251,55.04,0.5596631290142601,,5.669,3.0,5.9,5.5,6.0,5.8,5.9,5.5,6.0,5.9,-99.9,5.9,5.5,6.1,5.7,ready,5.65,5.8,5.6,6.0,5.7,,,,,,2.0,M03239,3809.0,151.184393530263,-160.335065443217,5.3,5.3,-100.0,-100.0,-99.99,-99.99,,,,M,2020-01-28 12:04:32.617584+00:00,desi_writer,40.0,kpno,2020-01-28 12:04:31,2020-01-28 12:04:32.615514+00:00,2020-01-28 12:06:02.480190+00:00,5.2,4.9,35664.0,35774.0,4272.0,4162.0,11591.0,4.6,4.3,4.4,4.2,4.7,4.8,4.7,5.867000000000001,6.1,5.9,5.6,4.2,3.9,4195031.0,2020-01-28 12:04:31,5.669,3.0,40.0,4.482,-5.0,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,5.9,5.9,5.9,5.8,6.0,6.0,6.1,6.0,5.5,5.5,5.5,5.6,5.9,5.8,5.7,5.7,7.6,7.4,8.1,7.9,4.2,4.3,4.7,3.9,4.4,4.6,4.7,4.2,4.8,6.1,5.9,5.6,5.2,4.9,5.7,5.7,21.7,21.6,21.6,21.6,21.7,5.1,5.1,5.3,5.3,10.6,5.1,6.2,ready,2020-01-28 12:04:32.615514+00:00,extern,M,2020-01-28 12:04:32.617584+00:00,desi_writer,5.65,5.867,44615.0,2.0,21.0,M03239,3809.0,2020-01-28 12:06:02.480190+00:00,can11,-160.335065443217,151.184393530263,-83.251,55.04,0.55966312901426,2.115,11591.0,4162.0,4272.0,35774.0,35664.0,True,,,,,,,,,,,,,kpno,44615.0
21.0,53892.0,53892.0,55593.0,3532.0,-84.28681182861328,54.23656463623047,0.04031128874149275,0.002,7.0,0.7972542041339301,139.3429191308197,1.843,0.0,11.0,11.4,6.693,can11,10.6,8.8,7.9,8.5,21.6,21.6,21.7,21.7,21.6,True,8.4,21.0,extern,4767131.0,,,,0.0,0.0,10.6,10.7,8.0,8.7,2.115,-84.838,58.324,0.5596631290142601,['set fiducial parameters'],8.065,6.0,8.1,7.9,8.5,8.1,8.2,8.0,9.3,8.9,-99.9,8.1,7.8,7.8,7.8,ready,8.05,8.1,7.9,8.2,8.0,,,,,,2.0,M03239,9844.0,115.934350341336,-45.669409417737796,7.8,7.8,-100.0,-100.0,-99.99,-99.99,,,,M,2020-03-08 06:21:38.375684+00:00,desi_writer,40.0,kpno,2020-03-08 06:21:37,2020-03-08 06:21:38.373156+00:00,2020-03-08 06:23:23.464437+00:00,7.5,7.2,45839.0,45902.0,4640.0,4577.0,13556.0,8.3,8.1,8.2,8.0,8.2,8.7,7.4,8.067,8.0,8.0,8.2,8.1,8.0,4767131.0,2020-03-08 06:21:37,8.065,6.0,40.0,6.693,1.843,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,8.2,8.1,8.1,8.1,9.3,8.5,7.8,8.2,8.0,7.9,7.8,7.9,8.9,8.1,7.8,8.0,10.6,10.7,11.0,11.4,8.0,8.1,7.4,8.0,8.2,8.3,8.2,8.1,8.7,8.0,8.0,8.2,7.5,7.2,8.0,8.7,21.7,21.6,21.6,21.6,21.7,7.9,8.5,7.8,7.8,10.6,8.8,8.4,ready,2020-03-08 06:21:38.373156+00:00,extern,M,2020-03-08 06:21:38.375684+00:00,desi_writer,8.05,8.067,53892.0,2.0,21.0,M03239,9844.0,2020-03-08 06:23:23.464437+00:00,can11,-45.6694094177378,115.934350341336,-84.838,58.324,0.55966312901426,2.115,13556.0,4577.0,4640.0,45902.0,45839.0,True,,,,['set fiducial parameters'],,,,,,,,,kpno,53892.0
21.0,49713.0,49713.0,55594.0,3532.0,-84.28681182861328,54.23656463623047,0.03330165161069343,0.0116619037896906,7.0,0.7972542041339301,139.3429191308197,-4.363,0.0,10.7,10.6,7.903,can11,10.6,8.8,8.6,8.4,21.6,21.6,21.7,21.7,21.6,True,9.2,21.0,extern,4497731.0,,,,0.0,0.0,10.6,10.4,9.1,9.3,2.115,-83.001,54.932,0.5596631290142601,,8.49,6.0,8.6,8.3,8.9,8.6,8.6,8.4,8.9,8.7,-99.9,8.7,8.3,8.8,8.6,ready,8.475,8.5,8.3,8.8,8.6,,,,,,2.0,M03239,6933.0,147.569124883796,-161.32143255203002,8.7,8.7,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-18 12:40:55.909332+00:00,desi_writer,40.0,kpno,2020-02-18 12:40:55,2020-02-18 12:40:55.907306+00:00,2020-02-18 12:41:04.581148+00:00,8.5,8.1,39838.0,39910.0,4458.0,4386.0,12436.0,8.1,7.8,7.9,7.9,8.2,8.4,8.0,9.033,9.3,9.1,8.7,7.9,7.8,4497731.0,2020-02-18 12:40:55,8.49,6.0,40.0,7.903,-4.363,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,8.6,8.6,8.7,8.5,8.9,8.9,8.8,8.8,8.4,8.3,8.3,8.3,8.7,8.6,8.6,8.6,10.6,10.4,10.7,10.6,7.9,7.8,8.0,7.8,7.9,8.1,8.2,7.9,8.4,9.3,9.1,8.7,8.5,8.1,9.1,9.3,21.7,21.6,21.6,21.6,21.7,8.6,8.4,8.7,8.7,10.6,8.8,9.2,ready,2020-02-18 12:40:55.907306+00:00,extern,M,2020-02-18 12:40:55.909332+00:00,desi_writer,8.475,9.033,49713.0,2.0,21.0,M03239,6933.0,2020-02-18 12:41:04.581148+00:00,can11,-161.32143255203,147.569124883796,-83.001,54.932,0.55966312901426,2.115,12436.0,4386.0,4458.0,39910.0,39838.0,True,,,,,,,,,,,,,kpno,49713.0
21.0,52114.0,52114.0,55611.0,3532.0,-85.07484436035156,57.3981819152832,0.027202941017470887,0.00282842712474619,7.0,53.64131108370836,215.353425297138,-12.8,0.0,7.1,7.7,0.108,can11,10.6,2.2,2.3,1.7,21.6,21.6,21.7,21.7,21.6,True,3.7,21.0,extern,4609991.0,,,,0.0,0.0,7.2,7.0,1.5,3.6,2.115,-84.97399999999998,55.599,0.5596631290142601,['set fiducial parameters'],3.0660000000000003,3.0,3.8,3.0,4.2,3.2,4.0,3.0,3.9,3.3,-99.9,3.7,3.0,4.3,3.1,ready,3.075,3.9,2.8,4.1,3.2,,,,,,2.0,M03239,7850.0,170.169016052139,-58.7396342679861,3.2,3.0,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-26 07:48:13.972272+00:00,desi_writer,40.0,kpno,2020-02-26 07:48:13,2020-02-26 07:48:13.970602+00:00,2020-02-26 07:48:55.297616+00:00,0.4,0.4,41556.0,41624.0,4494.0,4426.0,12758.0,1.4,0.8,0.9,0.6,1.6,1.6,0.7,1.533,1.7,1.4,1.5,1.0,0.6,4609991.0,2020-02-26 07:48:13,3.066,3.0,40.0,0.108,-12.8,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.0,3.8,3.7,3.9,3.9,4.2,4.3,4.1,3.0,3.0,3.0,2.8,3.3,3.2,3.1,3.2,7.2,7.0,7.1,7.7,0.6,0.8,0.7,0.6,0.9,1.4,1.6,1.0,1.6,1.7,1.4,1.5,0.4,0.4,1.5,3.6,21.7,21.6,21.6,21.6,21.7,2.3,1.7,3.2,3.0,10.6,2.2,3.7,ready,2020-02-26 07:48:13.970602+00:00,extern,M,2020-02-26 07:48:13.972272+00:00,desi_writer,3.075,1.533,52114.0,2.0,21.0,M03239,7850.0,2020-02-26 07:48:55.297616+00:00,can11,-58.7396342679861,170.169016052139,-84.974,55.599,0.55966312901426,2.115,12758.0,4426.0,4494.0,41624.0,41556.0,True,,,,['set fiducial parameters'],,,,,,,,,kpno,52114.0
21.0,51039.0,51039.0,55612.0,3532.0,-85.07484436035156,57.3981819152832,0.013601470508735444,0.010770329614269008,7.0,53.64131108370836,215.353425297138,-3.99,0.0,11.4,11.3,8.857999999999997,can11,10.6,10.2,9.6,9.7,21.6,21.6,21.7,21.7,21.6,True,9.7,21.0,extern,4523951.0,,,,0.0,0.0,11.1,11.1,10.4,10.2,2.115,-85.331,54.326,0.5596631290142601,['set fiducial parameters'],9.357,7.0,9.4,9.3,9.5,9.4,9.2,9.2,9.5,9.4,-99.9,9.5,9.4,9.3,9.5,ready,9.337,9.2,9.2,9.3,9.3,,,,,,2.0,M03239,7264.0,162.375275423537,68.7449801514308,9.3,9.2,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-20 08:08:03.165405+00:00,desi_writer,40.0,kpno,2020-02-20 08:08:02,2020-02-20 08:08:03.163347+00:00,2020-02-20 08:07:55.440043+00:00,10.0,9.6,40412.0,40484.0,4469.0,4397.0,12542.0,9.5,9.5,9.8,9.8,9.6,10.0,9.6,10.4,10.5,10.5,10.2,9.7,9.7,4523951.0,2020-02-20 08:08:02,9.357,7.0,40.0,8.858,-3.99,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,9.2,9.4,9.5,9.2,9.5,9.5,9.3,9.3,9.2,9.3,9.4,9.2,9.4,9.4,9.5,9.3,11.1,11.1,11.4,11.3,9.8,9.5,9.6,9.7,9.8,9.5,9.6,9.7,10.0,10.5,10.5,10.2,10.0,9.6,10.4,10.2,21.7,21.6,21.6,21.6,21.7,9.6,9.7,9.3,9.2,10.6,10.2,9.7,ready,2020-02-20 08:08:03.163347+00:00,extern,M,2020-02-20 08:08:03.165405+00:00,desi_writer,9.337,10.4,51039.0,2.0,21.0,M03239,7264.0,2020-02-20 08:07:55.440043+00:00,can11,68.7449801514308,162.375275423537,-85.331,54.326,0.55966312901426,2.115,12542.0,4397.0,4469.0,40484.0,40412.0,True,,,,['set fiducial parameters'],,,,,,,,,kpno,51039.0
21.0,48371.0,48371.0,55613.0,3532.0,-85.07484436035156,57.3981819152832,0.016155494421403512,0.005099019513592785,7.0,53.64131108370836,215.353425297138,-9.7,0.0,6.7,6.8,2.915,can11,10.6,4.2,4.1,4.1,21.6,21.6,21.7,21.7,21.6,True,4.6,21.0,extern,4423751.0,,,,0.0,0.0,6.8,6.6,4.2,4.6,2.115,-86.728,57.896,0.5596631290142601,,4.244,3.0,4.5,4.3,4.5,4.2,4.4,4.1,4.6,4.4,-99.9,4.5,4.2,4.5,4.3,ready,4.225,4.4,4.2,4.4,4.1,,,,,,2.0,M03239,5413.0,139.924791695215,-51.9651368784798,4.0,4.0,-100.0,-100.0,-99.99,-99.99,,,,M,2020-02-13 08:20:49.647094+00:00,desi_writer,40.0,kpno,2020-02-13 08:20:49,2020-02-13 08:20:49.645177+00:00,2020-02-13 09:28:00.520894+00:00,3.4,3.0,37975.0,38077.0,4392.0,4290.0,12064.0,3.9,3.2,3.6,3.4,4.0,4.1,3.3,4.067,4.2,4.0,4.0,3.5,3.2,4423751.0,2020-02-13 08:20:49,4.244,3.0,40.0,2.915,-9.7,0.0,-100.0,-100.0,-99.99,-99.99,0.0,0.0,-99.9,4.4,4.5,4.5,4.4,4.6,4.5,4.5,4.4,4.1,4.3,4.2,4.2,4.4,4.2,4.3,4.1,6.8,6.6,6.7,6.8,3.4,3.2,3.3,3.2,3.6,3.9,4.0,3.5,4.1,4.2,4.0,4.0,3.4,3.0,4.2,4.6,21.7,21.6,21.6,21.6,21.7,4.1,4.1,4.0,4.0,10.6,4.2,4.6,ready,2020-02-13 08:20:49.645177+00:00,extern,M,2020-02-13 08:20:49.647094+00:00,desi_writer,4.225,4.067,48371.0,2.0,21.0,M03239,5413.0,2020-02-13 09:28:00.520894+00:00,can11,-51.9651368784798,139.924791695215,-86.728,57.896,0.55966312901426,2.115,12064.0,4290.0,4392.0,38077.0,37975.0,True,,,,,,,,,,,,,kpno,48371.0
